Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
New User Offer,Grab flat 10% OFF* on First Bus Booking with EaseMyTrip,,https://images.emtcontent.com/bus-img/bus-new-user-21jun25-sm.webp,https://www.easemytrip.com/offers/bus-new-user.html,,,,,YES
Run Bus Service,Book Run Bus Service Now & Enjoy Flat 25% OFF* (Up to INR 120*),,https://images.emtcontent.com/bus-img/run-bus-service-sm.webp,https://www.easemytrip.com/offers/run-bus-service.html,,,,,YES
Devbhoomi Travels,Book Devbhoomi Travels Bus Now & Enjoy Flat 20% OFF* (Up to INR 250*),,https://images.emtcontent.com/bus-img/devbhoomi-travels-19dec25-sm.webp,https://www.easemytrip.com/offers/devbhoomi-travels.html,,,,,YES
Royal Safari,Book Royal Safari India Bus Now & Enjoy Flat 25% OFF* (Up to INR 120*),,https://images.emtcontent.com/bus-img/Royal-Safari-India-Bus-sm1.webp,https://www.easemytrip.com/offers/royal-safari.html,,,,,YES
Devbhoomi Travels Offer,Book Devbhoomi Travels Bus Now & Enjoy Flat 5% OFF* (Up to INR 100*),,https://images.emtcontent.com/bus-img/devbhoomi-travels-deal-19dec-sm.webp,https://www.easemytrip.com/offers/devbhoomi-travels-deal.html,,,,,YES
Rajkalpana Travels,Enjoy Flat 25% OFF* (Up to INR 150*) on Bus Bookings with Rajkalpana Travels,,https://images.emtcontent.com/bus-img/raj-kalpana-sm.webp,https://www.easemytrip.com/offers/rajkalpana-travels.html,,,,,YES
Yolo Bus,This Festive Season Get Flat 25% OFF* on Booking YOLOBUS with EaseMyTrip,,https://images.emtcontent.com/bus-img/yolobus-4dec25-sm.webp,https://www.easemytrip.com/offers/yolobus.html,,,,,YES
JT Smart Bus,Book JT Smart Bus Now & Enjoy Flat 15% OFF* (Up to INR 125*),,https://images.emtcontent.com/bus-img/JT-smart-bus-sm.webp,https://www.easemytrip.com/offers/jt-smart-bus.html,,,,,YES
Shree Krishna Tour & Travels,Enjoy Flat 10% OFF* (Up to INR 100*) on Shree Krishna Tour & Travels Bus Booking,,https://images.emtcontent.com/bus-img/shree-krishna-sm.webp,https://www.easemytrip.com/offers/shree-krishna-tour.html,,,,,YES
Kannu Travels,Enjoy Flat 25% OFF* (Up to INR 120*) on Booking Kannu Travels Bus,,https://images.emtcontent.com/bus-img/kannu-travels-sm.webp,https://www.easemytrip.com/offers/kannu-travels.html,,,,,YES
Northern Travels,Enjoy Flat 15% OFF* (Up to INR 125*) on Booking Northern Travels Bus,,https://images.emtcontent.com/bus-img/northern-travels-sm.webp,https://www.easemytrip.com/offers/northern-travels.html,,,,,YES
India Tour & Travels,Enjoy Flat 10% OFF* (Up to INR 100*) on India Tour & Travels Bus Booking,,https://images.emtcontent.com/bus-img/india-tour-sm.webp,https://www.easemytrip.com/offers/india-tour.html,,,,,YES
Fouji Travels,Unlock Flat 10% OFF* (Up to INR 100*) on Fouji Travels Bus Booking,,https://images.emtcontent.com/bus-img/fouji-travels-sm.webp,https://www.easemytrip.com/offers/fouji-travels.html,,,,,YES
Bigbus Bus,Enjoy Flat 10% OFF* (Up to INR 100*) on Bigbus Bus Booking,,https://images.emtcontent.com/bus-img/Bigbus-31-oct-sm.webp,https://www.easemytrip.com/offers/bigbus.html,,,,,YES
Pal Travel,Enjoy Flat 10% OFF* (Up to INR 100*) on Pal Travel Lines Bus Booking,,https://images.emtcontent.com/offer-img/Pal-Travel-Lines-sm.webp,https://www.easemytrip.com/offers/paltravel-lines.html,,,,,YES
Zing Bus Offer,Be Ready for the Road Trip Get Flat 12.5% OFF* on Bus Tickets,,https://images.emtcontent.com/bus-img/zingbus-23aug24-sm2.webp,https://www.easemytrip.com/offers/zingbus.html,,,,,YES
City Land Bus,Enjoy Flat 10% OFF* on City Land Bus Tickets with EaseMyTrip,,https://www.easemytrip.com/images/bus-img/city-land-bus-sm.png,https://www.easemytrip.com/offers/city-land-bus.html,,,,,YES
RS Yadav Smart Bus,Book RS Yadav Smart Bus Now & Enjoy Flat 10% OFF* (Up to INR 100*),,https://images.emtcontent.com/offer-img/RS-Yadav-Smart-Bus-Offer-sm.webp,https://www.easemytrip.com/offers/rs-yadav-smart-bus.html,,,,,YES
Bus Deal,Bus Tickets to Different Destinations At A Discount up to Rs. 500,,https://images.emtcontent.com/offer-img/EMTBUS-04th-oct-sm.webp,https://www.easemytrip.com/offers/emt-bus.html,,,,,YES
Deal of the Day,Enjoy Different Deals Each Day with EaseMyTrip,,https://images.emtcontent.com/offer-img/easeday14apr23-sm.png,https://www.easemytrip.com/offers/bus-easeday.html,,,,,YES
Bus Offer,Book Bus Tickets for Your Preferred Route at 10% Discount,,https://images.emtcontent.com/bus-img/bus10-7aug24-sm.png,https://www.easemytrip.com/offers/bus10.html,,,,,YES
Shree Saroj Travels,Customers will be able to enjoy flat 25% OFF* (up to INR 150*) on booking Shree Saroj Travels bus tickets with EaseMyTrip. Use code SSTEMT. Valid till: 16th Mar 2027,SSTEMT,https://images.emtcontent.com/bus-img/Shree-Saroj-Travels-sm.webp,https://www.easemytrip.com/offers/shree-saroj-travels.html,,,,,YES
International Tourist Centre,Customers will be able to enjoy flat 25% OFF* (up to INR 150*) on booking International Tourist Centre bus tickets with EaseMyTrip. Use code IITEMT. Valid till: 16th Mar 2027,IITEMT,https://images.emtcontent.com/bus-img/ITC-mar-sm.webp,https://www.easemytrip.com/offers/itc-bus.html,,,,,YES
Varun Travels Bus,Customers will be able to enjoy flat 25% OFF* (up to INR 150*) on booking Varun Travels bus tickets with EaseMyTrip. Use code VTEMT. Valid till: 16th Mar 2027,VTEMT,https://images.emtcontent.com/bus-img/varun-travels-sm.webp,https://www.easemytrip.com/offers/varun-travels.html,,,,,YES
KST Travels,Customers will be able to enjoy flat 25% OFF* (up to INR 150*) on booking KST Travels bus tickets with EaseMyTrip. Use code KSTEMT. Valid till: 11th Mar 2027,KSTEMT,https://images.emtcontent.com/bus-img/KST-Travel-sm.webp,https://www.easemytrip.com/offers/kst-travels.html,,,,,YES
Akash Yadav Travels,Customers will be able to enjoy flat 25% OFF* (up to INR 150*) on booking Akash Yadav Travels bus tickets with EaseMyTrip. Use code AYTEMT. Valid till: 11th Mar 2027,AYTEMT,https://images.emtcontent.com/bus-img/A-Y-B-mob.webp,https://www.easemytrip.com/offers/akash-yadav-travels.html,,,,,YES
Ebus India,Customers will be able to enjoy flat 25% OFF* (up to INR 150*) on booking Ebus India tickets with EaseMyTrip. Use code EBEMT. Valid till: 05th Feb 2027,EBEMT,https://images.emtcontent.com/bus-img/EBus-India-sm.webp,https://www.easemytrip.com/offers/ebus-india.html,,,,,YES
Ebus India,Customers will be able to enjoy flat 10% OFF* (up to INR 100*) on booking BT Travels bus tickets with EaseMyTrip. Use code BTEMT. Valid till: 9th Mar 2027,BTEMT,https://images.emtcontent.com/bus-img/BT-Travels-mar-sm.webp,https://www.easemytrip.com/offers/bt-travels.html,,,,,YES
