Description,Coupon code,Image,Link,Eligible Credit Cards,Eligible Debit Cards
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI Virtual Debit Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI Global International Debit Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI Platinum International Debit Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI My Card International Debit Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI IOCL Co-Branded Contactless RuPay Debit Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI Gold International Debit Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI Nari Shakti Platinum Debit Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI Pragati Platinum Debit Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI Mastercard World Debit Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,HPCL Co-Branded Debit Card -Everyday Card
"Buses Offer
Offer Details	Minimum Booking Value (INR)	Offer Valid On	Coupon Code
Flat 8% instant discount (up to Rs. 500)	Rs. 500	Every Tuesday Thursday and Friday	SBIDCIf the customer doesn't receive the discount he/she must raise the claim at https://support.Goibibo.com/MyAccount/MyIncidents/NewComplaintwithin 3 months from the booking date. In the event the cardholder fails to do so he/she will not be eligible for the discount amount.
This offer is NOT applicable on SBI corporate cards and Paytm SBI Credit Cards
Add-on cards will be treated as separate cards
This offer cannot be clubbed with any other offer of Goibibo
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this offer or not or to extend or withdraw it altogether.
For any card related claims the customer will need to approach the SBI Card. Goibibo shall not entertain any such claims.
Goibibo is the sole authority for the interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
In the event of any misuse or abuse of the offer by the customer or travel agent Goibibo r reserves the right to deny the offer or cancel the booking.
In no event will the entire liability of Goibibo under this offer exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer.
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi.
User Agreement and Privacy Policy of the Goibibo website will apply
Customers who are travel agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the offer against such bookings or to cancel such bookings. For such cases Goibibo shall not refund the booking amount.
Offer is only valid on the eligible BINs shared by SBI Card. If the BIN series of the card does not match with the one provided by SBI Card to Goibibo then the cardholder will need to approach SBI Card. Goibibo shall be entitled to withhold or deny the offer to the customer.",SBIDC,https://gos3.ibcdn.com/gt-top-1762943995.jpg,https://www.goibibo.com/offers/sbi-sale-gt-debit-card/,,SBI One Touch Debit Card
"Offer is valid only on the eligible BINs shared by the Banks. If the BIN series of the card does not match with the one provided by the Bank to Goibibo then the cardholder shall approach the respective Bank and Bank shall be entitled to withhold or deny the offer to the customer
Goibibo reserves the right at any time without prior notice and liability and without assigning any reason whatsoever to add/alter/modify/change or vary all of these terms and conditions or to replace wholly or in part this offer by another offer whether similar to this Offer or not or to extend or withdraw it altogether
For any card related claims the customer shall approach the Bank and Goibibo shall not entertain any such claims
Goibibo is the sole authority for interpretation of these terms
Goibibo shall not be liable for any loss or damage arising due to force majeure event
Customers who are Travel Agents by occupation are barred from making bookings for their customers and Goibibo reserves the right to deny the Offer against such bookings and to cancel such bookings. For such cases Goibibo will not refund the booking amount
In no event the entire liability of Goibibo under this offer shall exceed the amount of promotional discount under this offer
Goibibo shall not be liable to for any indirect punitive special incidental or consequential damages arising out of or in connection with the offer
Disputes if any arising out of or in connection with this offer shall be subject to the exclusive jurisdiction of the competent courts in Delhi
User Agreement and Privacy Policy at Goibibo website shall apply
The Customers agree to be bound by the terms & conditions contained herein. Without a Customer being required to do any further act he/she shall be deemed to have read understood and unconditionally accepted the terms & conditions herein",GOYES,https://gos3.ibcdn.com/topband-1664549968.jpg,https://www.goibibo.com/offers/yes-bank-bus/,Yes ELITE + Credit Card,
